symbol_day,symbol,day,quoted_half_spread_bps,bid_depth_lots,ask_depth_lots,touch_notional_usd,fill_rate_ceiling,n_posts,n_fills,earn_half_spread_bps_mean,net_per_fill_bps_mean,net_per_fill_bps_median,realized_adverse_bps_mean
GOOGL|2026-03-06,GOOGL,2026-03-06,0.4997751012040035,100.0,100.0,4478850.000000001,0.8953437771975631,4596,4115,0.477708301115295,0.2650141304176908,-0.000011165756297600656,0.2126941706976042
GOOGL|2026-04-01,GOOGL,2026-04-01,0.33664366268274376,200.0,100.0,5924400.000000001,0.8740140227870289,4564,3989,0.385603928876821,0.09726842011255407,-0.000011092985173350432,0.28833550876426695
GOOGL|2026-04-28,GOOGL,2026-04-28,0.4294733225483904,100.0,100.0,5238825.0,0.833945796968305,4354,3631,0.5179267782313577,0.0719435075512643,-8.181254167610199e-6,0.44598327068009336
GOOGL|2026-05-22,GOOGL,2026-05-22,0.647995749148033,80.0,80.0,3856300.0,0.81715471524095,4337,3544,0.6863812458704268,-0.003133715748670369,-0.1295554970119136,0.6895149616190972
GOOGL|2026-06-18,GOOGL,2026-06-18,0.6816539651804955,80.0,80.0,2940120.0,0.811965811965812,4446,3610,0.7408345199761951,0.277063095992704,0.40748875795284256,0.4637714239834911
META|2024-12-12,META,2024-12-12,2.2939589776850284,6.0,3.0,222108.25,0.5834358343583436,2439,1423,2.313288857982437,1.069444435337984,0.6346863951337594,1.2438444226444532
META|2025-01-10,META,2025-01-10,2.3895256379627834,6.0,3.0,218172.49999999997,0.7019386106623586,3714,2607,2.448482085632903,-0.055471763637697756,0.08018460042168304,2.5039538492706006
META|2025-02-06,META,2025-02-06,1.9803660848168614,6.0,3.0,251210.75,0.6531065088757396,2704,1766,2.027243908660601,0.5338701125414622,0.7709169457243492,1.4933737961191387
META|2025-03-05,META,2025-03-05,3.7967131312036284,1.0,2.0,98457.0,0.6535269709543569,2892,1890,3.8580777338230208,2.729721700452695,3.1428066057759696,1.1283560333703258
META|2025-03-31,META,2025-03-31,1.6649141256102673,1.0,1.0,57515.5,0.7938445210931282,3769,2992,1.7167135453654483,1.768179088780622,2.0059153869522497,-0.05146554341517362
META|2025-04-25,META,2025-04-25,2.386196769456598,1.0,1.0,81660.75,0.6605080831408776,3031,2002,2.422919126427499,0.6964008449043065,1.3858427334229697,1.7265182815231923
META|2025-05-21,META,2025-05-21,2.134623605513394,1.0,1.0,95043.75,0.7319911921988047,3179,2327,2.166316878142387,1.1518949755199526,0.7098465175577442,1.0144219026224344
META|2025-06-17,META,2025-06-17,1.7186560109994635,2.0,1.0,105083.25000000001,0.7059304703476482,2445,1726,1.7607830408169896,0.5311237110469648,0.7125439671967002,1.229659329770025
META|2025-07-15,META,2025-07-15,1.8173938572094939,1.0,1.0,107536.5,0.6826795945350375,2269,1549,1.9035341486902753,-0.032589216902720104,-0.28047780894258056,1.9361233655929955
META|2025-08-08,META,2025-08-08,1.9594012069915892,1.0,1.0,114800.25,0.6357039187227866,2067,1314,1.9503404085264882,1.7038471217585727,1.5597909797582235,0.2464932867679155
META|2025-09-04,META,2025-09-04,1.8734109460731059,1.0,1.0,112276.5,0.6548748921484038,2318,1518,2.01216975648232,-0.1460534276257924,0.33407177878444305,2.1582231841081123
META|2025-09-30,META,2025-09-30,1.9886032462231187,1.0,1.0,109847.25000000001,0.6619822485207101,2704,1790,2.072731168271899,0.8846751089775206,1.365119460044776,1.1880560592943787
META|2025-10-24,META,2025-10-24,1.9043732575105883,1.0,2.0,110626.5,0.5928764652840397,2218,1315,1.9998369743599238,0.828618460113464,0.8800011657395577,1.1712185142464597
META|2025-11-19,META,2025-11-19,1.4527555354255213,80.0,80.0,4695480.0,0.7675200413757435,3867,2968,1.4690309709782066,0.564005431826065,0.3410139347393517,0.9050255391521416
META|2025-12-16,META,2025-12-16,1.2969673850854302,80.0,80.0,5252100.0,0.719281663516068,3174,2283,1.3410425350620843,1.288460515078764,1.6158563545500595,0.05258201998332024
