split,fill,overlay,qimb_thr,markout_sec,n_fills,earned_spread_bps,adverse_drift_bps,markout_mean_bps,markout_ci_lo,markout_ci_hi,markout_t,win_rate,cross_mean_bps,cross_ci_lo,cross_ci_hi
OOS,queue_proxy,baseline,,30,1043952,0.6773,-0.7022,-0.0249,-0.039,-0.01,-3.5,0.488,-1.0167,-1.0308,-1.0023
OOS,queue_proxy,baseline,,60,1043952,0.6773,-0.7136,-0.0363,-0.0552,-0.0163,-3.61,0.4914,-1.0281,-1.0473,-1.0079
OOS,queue_proxy,qimb,0.0,1,512923,0.6384,-0.3283,0.3101,0.3052,0.3148,123.46,0.559,-0.6784,-0.6834,-0.6735
OOS,queue_proxy,qimb,0.0,5,512923,0.6384,-0.6137,0.0247,0.0167,0.0331,5.74,0.4841,-0.9638,-0.9722,-0.9551
OOS,queue_proxy,qimb,0.0,30,512923,0.6384,-0.745,-0.1066,-0.1249,-0.0866,-10.51,0.4819,-1.0951,-1.1135,-1.075
OOS,queue_proxy,qimb,0.0,60,512923,0.6384,-0.7703,-0.1319,-0.1589,-0.1034,-9.16,0.4857,-1.1204,-1.1473,-1.0921
OOS,queue_proxy,qimb,0.05,1,782475,0.6842,-0.3286,0.3556,0.3516,0.3599,170.32,0.5726,-0.6653,-0.6693,-0.6612
OOS,queue_proxy,qimb,0.05,5,782475,0.6842,-0.6154,0.0688,0.0617,0.0761,19.27,0.4936,-0.9521,-0.9594,-0.9448
OOS,queue_proxy,qimb,0.05,30,782475,0.6842,-0.7441,-0.0599,-0.0763,-0.0427,-7.12,0.4863,-1.0809,-1.0971,-1.0638
OOS,queue_proxy,qimb,0.05,60,782475,0.6842,-0.7669,-0.0827,-0.1057,-0.0602,-6.94,0.4895,-1.1037,-1.127,-1.0812
OOS,queue_proxy,qimb,0.1,1,933174,0.6978,-0.3243,0.3735,0.3696,0.3773,194.92,0.5775,-0.6508,-0.6546,-0.6471
OOS,queue_proxy,qimb,0.1,5,933174,0.6978,-0.6086,0.0892,0.0828,0.0959,27.34,0.4973,-0.9351,-0.9416,-0.9286
OOS,queue_proxy,qimb,0.1,30,933174,0.6978,-0.733,-0.0351,-0.0498,-0.0202,-4.57,0.4881,-1.0595,-1.0743,-1.0446
OOS,queue_proxy,qimb,0.1,60,933174,0.6978,-0.7513,-0.0534,-0.0739,-0.0323,-4.91,0.4908,-1.0778,-1.0985,-1.0567
OOS,queue_proxy,qimb,0.2,1,1020752,0.6887,-0.3172,0.3715,0.3678,0.375,204.85,0.576,-0.6349,-0.6383,-0.6314
OOS,queue_proxy,qimb,0.2,5,1020752,0.6887,-0.5952,0.0935,0.0873,0.0997,30.27,0.4973,-0.9129,-0.9192,-0.9066
OOS,queue_proxy,qimb,0.2,30,1020752,0.6887,-0.7125,-0.0238,-0.0385,-0.0091,-3.27,0.4884,-1.0301,-1.0445,-1.0155
OOS,queue_proxy,qimb,0.2,60,1020752,0.6887,-0.7252,-0.0365,-0.0565,-0.0172,-3.56,0.4915,-1.0429,-1.0626,-1.0235
OOS,queue_proxy,qimb,0.4,1,1043188,0.6778,-0.3135,0.3642,0.3608,0.3676,204.56,0.5729,-0.6281,-0.6315,-0.6246
OOS,queue_proxy,qimb,0.4,5,1043188,0.6778,-0.5883,0.0895,0.0836,0.0957,29.52,0.4957,-0.9028,-0.9086,-0.8964
OOS,queue_proxy,qimb,0.4,30,1043188,0.6778,-0.7024,-0.0247,-0.0386,-0.0108,-3.46,0.4881,-1.017,-1.031,-1.0032
OOS,queue_proxy,qimb,0.4,60,1043188,0.6778,-0.7139,-0.0361,-0.0555,-0.016,-3.59,0.4915,-1.0284,-1.0477,-1.0085
