signal,w,h_min,band,gross_bps,turnover,net_bps,net_2x_bps,avg_rt_cost_bps,n_syms
stflow,30,5,0.05,-0.0132,0.4012,-1.1249,-2.2366,2.676,5
stflow,30,5,0.1,0.0098,0.3671,-1.0013,-2.0123,2.676,5
stflow,30,5,0.15,0.0005,0.3166,-0.863,-1.7264,2.676,5
stflow,30,5,0.2,0.0053,0.2577,-0.6873,-1.3798,2.676,5
stflow,60,1,0.0,-0.0045,0.2519,-0.7111,-1.4178,2.676,5
stflow,60,1,0.02,0.0005,0.2502,-0.7016,-1.4037,2.676,5
stflow,60,1,0.05,-0.0077,0.2416,-0.6852,-1.3628,2.676,5
stflow,60,1,0.1,0.0035,0.2136,-0.5884,-1.1803,2.676,5
stflow,60,1,0.15,-0.0053,0.1757,-0.4828,-0.9603,2.676,5
stflow,60,1,0.2,-0.0054,0.1326,-0.3549,-0.7045,2.676,5
stflow,60,2,0.0,-0.0331,0.2519,-0.7398,-1.4464,2.676,5
stflow,60,2,0.02,-0.0293,0.2502,-0.7314,-1.4335,2.676,5
stflow,60,2,0.05,-0.0203,0.2416,-0.6979,-1.3754,2.676,5
stflow,60,2,0.1,0.0048,0.2136,-0.587,-1.1789,2.676,5
stflow,60,2,0.15,-0.0007,0.1757,-0.4782,-0.9557,2.676,5
stflow,60,2,0.2,-0.0076,0.1326,-0.3571,-0.7067,2.676,5
stflow,60,5,0.0,-0.0268,0.2519,-0.7335,-1.4401,2.676,5
stflow,60,5,0.02,-0.0235,0.2502,-0.7256,-1.4276,2.676,5
stflow,60,5,0.05,-0.0243,0.2416,-0.7019,-1.3794,2.676,5
stflow,60,5,0.1,0.0014,0.2136,-0.5905,-1.1824,2.676,5
stflow,60,5,0.15,-0.021,0.1757,-0.4985,-0.976,2.676,5
stflow,60,5,0.2,-0.0276,0.1326,-0.3772,-0.7267,2.676,5
stflow,120,1,0.0,-0.0225,0.1495,-0.4515,-0.8805,2.676,5
stflow,120,1,0.02,-0.0202,0.1485,-0.4443,-0.8684,2.676,5
